name,GOnTime,GOffTime,GIntensity,ROnTime,ROffTime,RIntensity,BOnTime,BOffTime,BIntensity,PriorityOne,PriorityTwo,PriorityThree
0,0,2,23,5,5,66,7,8,250,G,R,B
1,1,2,33,0,5,76,7,8,240,G,R,B
2,0,2,43,0,5,86,7,8,230,G,R,B
3,0,2,53,4,5,96,7,8,220,G,R,B
4,0,2,63,0,5,106,10,8,210,G,R,B
5,0,2,23,5,5,66,7,8,250,G,R,B
6,1,2,33,0,5,76,7,8,240,G,R,B
7,0,2,43,0,5,86,7,8,230,G,R,B
8,0,2,53,4,5,96,7,8,220,G,R,B
9,0,2,63,3,5,106,10,8,210,G,R,B
,,,,,,,,,,,,
type,startVoltage,voltageThresholdOne,voltageThresholdTwo,stepSize,scanRate,numOfScans,,,,,,
cv,0,1.25,0,0.01,0.1,1,,,,,,
,,,,,,,,,,,,
Pot,,,,,,,,,,,,
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
